 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2019,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),-0.06,-0.33,"-2,059,333,929","-1,803,538,974","-413,897","-24,034,987","-5,599,463","-75,231","-32,643","-225,648,744","10,010",1%
2018,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),-0.07,-0.35,"-2,326,851,406","-2,057,993,678","-471,879","-27,428,852","-6,390,857","-85,804","-33,282","-234,457,260","10,206",1%
2017,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),-0.07,-0.29,"-2,088,972,125","-1,808,187,556","-414,575","-24,109,531","-5,611,948","-75,390","-32,157","-250,550,827","9,861",1%
2016,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates,Activities of membership organisation n.e.c. (91),-0.07,-0.29,"-2,122,043,626","-1,852,168,964","-424,375","-24,699,080","-5,749,022","-77,197","-30,584","-238,903,782","9,378",1%
2015,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.06,-0.28,"-1,959,645,759","-1,744,463,973","-399,621","-23,270,043","-5,412,770","-72,703","-30,208","-186,005,704","9,263",1%
2014,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.07,-0.32,"-2,251,213,463","-2,058,467,868","-470,917","-27,461,184","-6,389,817","-85,726","-28,943","-158,317,884","8,875",1%
2013,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.09,-0.41,"-2,760,223,543","-2,464,054,691","-563,273","-32,858,664","-7,655,607","-102,568","-25,318","-254,971,185","7,764",1%
2012,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.08,-0.35,"-2,268,421,119","-2,101,856,359","-480,057","-28,055,646","-6,523,789","-87,459","-25,265","-131,400,292","7,747",1%
2011,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.07,-0.35,"-2,176,127,782","-1,889,243,599","-431,819","-25,224,188","-5,859,929","-78,647","-28,592","-255,269,775","8,768",1%
2010,3M CO,UNITED STATES OF AMERICA,Industrial Conglomerates, Activities of membership organisation n.e.c. (91) ,-0.08,-0.35,"-2,105,919,763","-1,924,672,080","-439,506","-25,698,273","-5,971,786","-80,081","-24,605","-149,040,978","7,545",1%
2019,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.08,"-367,928,496","-336,360,248","-77,085","-4,353,426","-1,009,881","-13,847","-93,462","-26,019,197","-1,349",5%
2018,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.10,"-365,158,293","-329,400,330","-75,698","-4,269,415","-989,567","-13,590","-89,578","-30,319,663",-452,5%
2017,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.01,-0.18,"-368,122,301","-331,497,669","-76,379","-4,311,628","-1,000,097","-13,722","-80,239","-31,143,113",545,4%
2016,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.11,"-355,171,438","-319,191,873","-73,971","-4,178,170","-969,341","-13,291","-61,089","-30,686,053","2,349",3%
2015,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.12,"-349,044,046","-312,405,902","-72,305","-4,091,831","-948,994","-13,005","-58,868","-31,455,417","2,276",3%
2014,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.13,"-355,977,472","-321,542,886","-74,611","-4,221,840","-979,760","-13,420","-53,504","-29,094,525","3,074",3%
2013,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.13,"-346,159,397","-312,329,630","-72,490","-4,103,789","-950,201","-13,025","-52,948","-28,640,302","2,986",3%
2011,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.14,"-920,368,838","-498,956,855","-126,666","-6,441,012","-1,502,590","-21,126","-109,123","-413,219,023","7,558",2%
